iter	Passed	Remaining
637	9795	20910
638	9810	20895
639	9827	20883
640	9842	20868
641	9858	20854
642	9874	20838
643	9888	20821
644	9903	20805
645	9917	20787
646	9934	20774
647	9948	20756
648	9963	20739
649	9975	20718
650	9991	20705
651	10006	20688
652	10021	20672
653	10036	20656
654	10051	20640
655	10065	20622
656	10080	20606
657	10096	20591
658	10111	20576
659	10126	20560
660	10141	20543
661	10155	20525
662	10170	20510
663	10187	20498
664	10202	20482
665	10218	20467
666	10233	20451
667	10248	20436
668	10263	20420
669	10278	20404
670	10293	20386
671	10307	20370
672	10322	20353
673	10337	20337
674	10352	20322
675	10367	20306
676	10382	20289
677	10399	20276
678	10413	20260
679	10427	20242
680	10445	20231
681	10464	20222
682	10482	20213
683	10504	20209
684	10523	20202
685	10541	20192
686	10558	20179
687	10576	20169
688	10593	20157
689	10613	20150
690	10631	20140
691	10649	20128
692	10667	20118
693	10685	20108
694	10704	20099
695	10722	20088
696	10740	20078
697	10757	20066
698	10774	20053
699	10791	20042
700	10809	20030
701	10831	20027
702	10849	20017
703	10866	20003
704	10881	19987
705	10898	19976
706	10916	19963
707	10934	19953
708	10951	19941
709	10967	19927
710	10984	19915
711	11002	19902
712	11020	19891
713	11038	19881
714	11053	19865
715	11068	19849
716	11083	19831
717	11100	19819
718	11115	19804
719	11130	19787
720	11146	19772
721	11161	19756
722	11176	19740
723	11190	19722
724	11206	19707
725	11223	19696
726	11241	19683
727	11261	19676
728	11278	19664
729	11295	19651
730	11310	19635
731	11327	19621
732	11342	19605
733	11357	19588
734	11370	19570
735	11386	19554
736	11402	19540
737	11418	19526
738	11437	19516
739	11457	19508
740	11474	19495
741	11489	19478
742	11506	19465
743	11521	19449
744	11535	19432
745	11551	19417
746	11566	19401
747	11580	19382
748	11595	19366
749	11610	19350
750	11624	19332
751	11638	19315
752	11655	19301
753	11669	19284
754	11684	19268
755	11698	19250
756	11715	19236
757	11731	19222
758	11747	19206
759	11761	19190
760	11776	19173
761	11792	19159
762	11807	19142
763	11822	19125
764	11836	19108
765	11851	19093
766	11868	19079
767	11883	19062
768	11897	19045
769	11912	19029
770	11928	19014
771	11942	18997
772	11957	18980
773	11972	18963
774	11986	18946
775	12000	18928
776	12014	18910
777	12031	18897
778	12045	18880
779	12076	18888
780	12096	18880
781	12111	18863
782	12124	18845
783	12139	18828
784	12152	18809
785	12166	18792
786	12181	18775
787	12197	18760
788	12212	18744
789	12229	18731
790	12242	18712
791	12257	18695
792	12271	18678
793	12288	18665
794	12303	18648
795	12317	18631
796	12334	18617
797	12348	18600
798	12363	18584
799	12378	18567
800	12393	18552
801	12409	18536
802	12424	18521
803	12440	18506
804	12456	18490
805	12470	18474
806	12484	18456
807	12499	18439
808	12514	18423
809	12531	18410
810	12545	18393
811	12560	18376
812	12578	18365
813	12593	18348
814	12610	18336
815	12625	18319
816	12643	18307
817	12659	18292
818	12676	18280
819	12692	18264
820	12707	18247
821	12721	18230
822	12735	18213
823	12750	18196
824	12764	18179
825	12779	18163
826	12793	18146
827	12809	18132
828	12823	18113
829	12839	18099
830	12853	18082
831	12872	18070
832	12886	18053
833	12901	18037
834	12917	18022
835	12932	18005
836	12946	17989
837	12961	17973
838	12975	17955
839	12990	17939
840	13005	17923
841	13022	17910
842	13038	17895
843	13055	17881
844	13069	17864
845	13084	17848
846	13100	17833
847	13115	17816
848	13129	17800
849	13143	17782
850	13158	17766
851	13173	17750
852	13188	17734
853	13202	17717
854	13217	17700
855	13231	17683
856	13249	17670
857	13268	17659
858	13283	17643
859	13300	17630
860	13314	17613
861	13328	17596
862	13346	17583
863	13360	17566
864	13374	17549
865	13389	17532
866	13406	17519
867	13421	17503
868	13435	17486
869	13449	17469
870	13465	17454
871	13481	17439
872	13496	17422
873	13512	17408
874	13527	17392
875	13542	17376
876	13558	17361
877	13572	17344
878	13587	17328
879	13602	17312
880	13620	17299
881	13634	17283
882	13648	17266
883	13664	17250
884	13680	17235
885	13695	17219
886	13710	17203
887	13724	17186
888	13739	17170
889	13756	17156
890	13771	17140
891	13785	17123
892	13800	17107
893	13818	17095
894	13832	17078
895	13847	17062
896	13863	17047
897	13881	17035
898	13909	17035
899	13934	17031
900	13961	17029
901	13991	17031
902	14008	17018
903	14022	17001
904	14037	16984
905	14051	16967
906	14066	16951
907	14083	16937
908	14099	16922
909	14114	16906
910	14129	16890
911	14144	16874
912	14158	16857
913	14173	16840
914	14187	16823
915	14202	16807
916	14217	16790
917	14230	16773
918	14245	16756
919	14259	16739
920	14273	16722
921	14290	16708
922	14304	16691
923	14319	16675
924	14334	16659
925	14349	16642
926	14363	16625
927	14377	16609
928	14392	16592
929	14407	16576
930	14421	16559
931	14436	16543
932	14451	16526
933	14466	16510
934	14481	16494
935	14500	16483
936	14515	16467
937	14530	16451
938	14545	16435
939	14560	16419
940	14575	16403
941	14590	16386
942	14607	16373
943	14624	16359
944	14638	16342
945	14654	16327
946	14669	16311
947	14683	16294
948	14698	16278
949	14717	16266
950	14731	16249
951	14746	16233
952	14759	16215
953	14774	16198
954	14790	16184
955	14805	16167
956	14821	16153
957	14840	16141
958	14855	16125
959	14869	16109
960	14885	16093
961	14902	16079
962	14917	16063
963	14931	16047
964	14946	16030
965	14960	16013
966	14975	15997
967	14989	15980
968	15006	15966
969	15020	15950
970	15036	15934
